pv_id,page_identifier,page_name_my,cid_type,page_cat,biz_par,biz_bg,status,modify_date
1,c_oEWlZ,演出首页,h5,1,,1,1,2018-06-28
2,c_cijyn3pg,演出首页,h5,1,,1,1,2018-06-28
3,c_6yPP8,演出列表页,h5,1,,1,1,2018-06-28
4,c_Q7wY4,演出详情页,h5,2,performance_id&shop_id&fromTag,1,1,2018-06-28
5,c_8UWcP,演出票品选择页,h5,3,,1,1,2018-06-28
6,c_EIA9h,演出确认订单页,h5,3,,1,1,2018-06-28
7,c_l1Ub4,演出订单详情页,h5,4,,1,1,2018-06-28
8,c_73h2xggs,演出商户页,h5,1,,1,1,2018-06-28
9,c_dqihv0si,演出团购页,h5,2,,1,1,2018-06-28
10,c_zn3lm8i0,演出团购列表页,h5,1,,1,1,2018-06-28
11,c_daju4xmt,演出团购下单页,h5,3,,1,1,2018-06-28
12,c_ahgolmuk,演出抵用券详情页,h5,1,,1,1,2018-06-28
13,c_3kfhuf7f,演出区域选择页,h5,3,,1,1,2018-06-28
14,c_iclxcfq2,演出座位选择页,h5,1,,1,1,2018-06-28
15,c_jkqfqzex,演出场馆列表页,h5,1,,1,1,2018-06-28
16,pages/show/index/index,演出首页,mini_programs,1,,1,1,2018-06-28
17,pages/show/list/index,演出列表页,mini_programs,1,,1,1,2018-06-28
18,pages/showsubs/webview/webview,演出活动页,mini_programs,1,,1,1,2018-06-28
19,pages/show/detail/index,演出详情页,mini_programs,2,id&utm_source,1,1,2018-06-28
20,pages/show/ticket/ticket,演出票品选择页,mini_programs,2,,1,1,2018-06-28
21,pages/showsubs/ticket/ticket,演出票品选择页,mini_programs,2,,1,1,2018-06-28
22,pages/show/order/confirm,演出确认订单页,mini_programs,3,,1,1,2018-06-28
23,pages/showsubs/order/confirm,演出确认订单页,mini_programs,3,,1,1,2018-06-28
24,pages/show/order/index,演出订单详情页,mini_programs,4,,1,1,2018-06-28
25,pages/showsubs/order/index,演出订单详情页,mini_programs,4,,1,1,2018-06-28
26,pages/show/seats/area,演出区域选择页,mini_programs,2,,1,1,2018-06-28
27,pages/showsubs/seats/area,演出区域选择页,mini_programs,2,,1,1,2018-06-28
28,pages/showsubs/seats/seats,演出座位选择页,mini_programs,2,,1,1,2018-06-28
29,pages/show/seats/seats,演出座位选择页,mini_programs,2,,1,1,2018-06-28
30,pages/showsubs/user/index,演出订单列表页,mini_programs,4,,1,1,2018-06-28
31,pages/show/user/index,演出订单列表页,mini_programs,4,,1,1,2018-06-28
32,pages/show/mooc/invoice,演出开发票页,mini_programs,4,,1,1,2018-06-28
33,packages/show/pages/user/index,演出订单列表页,mini_programs,4,,1,1,2018-06-28
34,packages/show/pages/order/index,演出订单详情页,mini_programs,4,,1,1,2018-06-28
35,packages/show/pages/list/index,演出列表页,mini_programs,1,,1,1,2018-06-28
36,packages/show/pages/ticket/ticket,演出票品选择页,mini_programs,2,,1,1,2018-06-28
37,packages/show/pages/seats/area,演出区域选择页,mini_programs,2,,1,1,2018-06-28
38,packages/show/pages/order/confirm,演出确认订单页,mini_programs,3,,1,1,2018-06-28
39,c_fdy6sm9s,演出确认订单页,mini_programs,3,,1,1,2018-06-28
40,packages/show/pages/index/index,演出首页,mini_programs,1,,1,1,2018-06-28
41,packages/show/pages/search/index,演出搜索页,mini_programs,1,,1,1,2018-06-28
42,packages/show/pages/detail/index,演出详情页,mini_programs,2,id,1,1,2018-06-28
43,packages/show/pages/seats/seats,演出座位选择页,mini_programs,2,,1,1,2018-06-28
44,packages/show/pages/list/theatre,演出场馆列表页,mini_programs,1,,1,1,2018-06-28
45,packages/show/pages/detail/venue,演出场馆详情页,mini_programs,1,,1,1,2018-06-28
46,c_butmynlk,演出首页,pc,1,,1,1,2018-06-28
47,c_352o88g9,演出搜索页,pc,1,,1,1,2018-06-28
48,c_bfo0abmf,演出详情页,pc,2,utm_source,1,1,2018-06-28
49,c_wzyexh5l,平台开机屏,native,1,,0,1,2018-06-28
50,c_f740bkf7,平台首页,native,1,,0,1,2018-06-28
51,c_5hep1k02,平台个人中心,native,1,,0,1,2018-06-28
52,c_qc0t1u1j,平台资讯详情页,native,4,,0,1,2018-06-28
53,c_ak74h40f,平台PUSH,native,1,,0,1,2018-06-28
54,c_1pae4zyv,演出票品选择页,native,2,,1,1,2018-06-28
55,c_4q92rq00,演出订单详情页,native,4,,1,1,2018-06-28
56,c_b5okwrne,演出详情页,native,2,drama_id&city_id,1,1,2018-06-28
57,c_bw4xxfd2,演出场馆详情页,native,1,,1,1,2018-06-28
58,c_pp92sa1m,演出确认订单页,native,3,,1,1,2018-06-28
59,c_k4c7jr2r,演出区域选择页,native,2,,1,1,2018-06-28
60,c_rpnwdkyc,演出座位选择页,native,2,,1,1,2018-06-28
61,c_ub9cbobf,演出列表页,native,1,,1,1,2018-06-28
62,c_95t14cas,演出抵用券详情页,native,1,,1,1,2018-06-28
63,c_2nq786nl,演出V卡详情页,native,1,,1,1,2018-06-28
64,c_bd8cu9b,电影首页,native,1,,2,1,2018-06-28
65,c_md3aiihu,电影影人详情页,native,1,,2,1,2018-06-28
66,c_ohsrk3j4,电影影片详情页,native,1,,2,1,2018-06-28
67,c_5ptugikt,电影短评列表页,native,1,,2,1,2018-06-28
68,c_ydur5h73,电影短评列表页,native,1,,2,1,2018-06-28
69,c_8h1c8hrl,电影短评详情页,native,1,,2,1,2018-06-28
70,c_8r1tct9,电影上映影院与购票页,native,1,,2,1,2018-06-28
71,c_m9b83s0,电影排片页,native,1,,2,1,2018-06-28
72,c_qcVse,电影座位选择页,native,1,,2,1,2018-06-28
73,c_cs4odfm,电影确认订单页,native,1,,2,1,2018-06-28
74,c_te77g2x,电影订单详情页,native,1,,2,1,2018-06-28
75,c_x4Il4,电影影院会员卡详情页,native,1,,2,1,2018-06-28
76,c_7ar1hc0j,电影我的影评,native,1,,2,1,2018-06-28
77,c_256bojfx,电影卖品详情页,native,1,,2,1,2018-06-28
78,c_wh7rogdp,电影我的卖品订单详情页,native,1,,2,1,2018-06-28
79,c_BvlYz,电影申请退款页,native,1,,2,1,2018-06-28
80,c_y02b19d,电影退款详情页,native,1,,2,1,2018-06-28
81,c_g42lbw3k,电影作品详情页,native,1,,2,1,2018-06-28
82,c_8ta0krrs,电影影人详情页,native,1,,2,1,2018-06-28
83,c_6av22msd,电影短评详情页,native,1,,2,1,2018-06-28
84,c_50junqfk,电影资讯详情页,native,1,,2,1,2018-06-28
85,c_j12hn5s3,电影搜索页,native,1,,2,1,2018-06-28
86,c_xscvruki,电影影评列表页,native,1,,2,1,2018-06-28
87,com.gewara.trade.cinema.MainCinemaListFragment,电影首页,native,1,,2,1,2018-06-28
88,com.gewara.trade.cinema.c,电影首页,native,1,,2,1,2018-06-28
89,DP.MAYHomeViewController,电影首页,native,1,,2,1,2018-06-28
90,com.gewara.trade.cinema.MovieCinemaListActivity,电影上映影院与购票页,native,1,,2,1,2018-06-28
91,com.gewara.trade.cinema.MoviePoiCinemaActivity,电影排片页,native,1,,2,1,2018-06-28
92,com.gewara.trade.seat.MovieSelectSeatActivity,电影座位选择页,native,1,,2,1,2018-06-28
93,ra.trade.pay.MoviePaySeatActivity,电影确认订单页,native,1,,2,1,2018-06-28
94,com.gewara.trade.pay.MoviePaySeatActivity,电影确认订单页,native,1,,2,1,2018-06-28
95,com.gewara.trade.order.seat.MovieSeatOrderDetailActivity,电影订单详情页,native,1,,2,1,2018-06-28